Persona,Lv.,Arcana,Types,Drain,Reflect,Null,Resist,Evade 1,Evade 2,Evade 3,Weak,Type,Stat Bonuses,Natural Skill,Active Abilities,Passive Abilities,Disposition,Reward,STR,MAG,TEC,AGI,VIT,LCK,Pg.,Compendium?
Orgone Ghost,5,Magician,"Fire, PSY, Heal",,,,,,,,Gun,Tyrant,,"Life Force – Whenever a User regains HP through a Heal or Imbue Category effect, outside of Revive effects, Orgone Ghost can spend its Interrupt action to regain HP equal to half of the HP recovered by that effect. ","Rest: At the end of each other unit's turn, if Orgone Ghost didn't take damage this turn, it recovers 10% (20) of its maximum HP. This lasts until the start of Orgone Ghost’s next turn. 
Volcanicker: Any number of units in combat. On hit: 7d4 (17) Fire damage and extend the duration of any Debuffs on the target by 1 round. 
Brain Burst: One target within 6 meters. On hit: 7d6 (24) PSY damage. If the target is Poisoned, trigger Poisoned damage on the target immediately. ","Absorb (P): If Orgone Ghost would be slain while Kashiyama is present in combat, Orgone Ghost can, for no action cost, drain Kashiyama's HP, up to its current HP, to regain that same amount of HP immediately ",,,1,7,6,5,6,2,SSVII-27,FALSE
Yomotsu-Shikome,5,Fool,"Physical, Dark, Status",,,,Ice,,,,Fire,Shadow,+1 AGI,"Chaser – Once per combat, you can choose one target: It cannot be moved further than 5 meters from you. Effects that would force movement past that threshold are automatically stopped at 5 meters of your your position.","Aeon Rain: Up to 3 targets within 4 meters are struck by whip-like strands of hair. On hit: 6d4 (15) Physical damage (Gun).
Mamudo: Any number of targets whose HP are below 32% are killed immediately.
Crushing Strength: 1 target within 8 meters. 110% Knockdown chance.",,"Devilish, Chaotic",Maeiha (T1 Dark),6,1,6,6,2,2,C-190,FALSE
Ernesto,5,Chariot,"Almighty, Heal",,Gun,,,,,,Status,Icon,"+1 MAG, +4 Courage","Flag of Freedom (Almighty, Heal): As a Quick action, when you slay a target with an Almighty Type spell, you can spend any number of uses of a Heal Type spell from your deck to place a Flag of Freedom on the space occupied by the slain target. Users adjacent to the Flag of Freedom can spend a Quick action to receive the effect of the chosen spell as if the User who placed the Flag had cast it. This can be done a number of times equal to the number of uses spent to place this effect. Only one Flag of Freedom can be present in combat at a time. ","Revolutionary Waltz: Any number of targets Ernesto can see. On hit: 7d4 (17) Almighty damage. After damage calculation, all Users who were targeted by this spell are placed in a straight line in front of Ernesto, in any order. Users who took damage from this spell cannot declare movement actions until the end of Ernesto's next turn. 
Grandest Partisan: All targets between Ernesto and one point within 6 meters. This spell automatically rolls for Critical Hits without spending Luck Charges. On hit: 7d4+5X (17) Almighty damage, where X is the number of targets that failed the dodge check against this spell. ","Godlike Speed (P): For every two spaces Ernesto moves or is moved, it recovers 10% (20) of its maximum HP. ","Noble, Friendly",Diarama (T2 Heal),1,8,5,4,6,2,SSVII-37,FALSE
Ame-No-Uzume,6,Lovers,"Ice, Thunder, Intel",Fire,,,,,,,"Wind, Light",Shadow,"+4 Expression, +1 AGI","Ama-no-Iwato – You can create a zone of pure darkness around you with a radius of up to TEC meters, once per day.","Absolute Zero: Up to 4 targets. You can decrease the number of targets to deal 5 extra points of damage to each target not hit. If this spell hits only 1 target, halve their movement allowance for 1 round. On hit: 5d4 (12) Ice damage.
Zionga: 1 target, On hit: 5d6-3 (14) Thunder damage, 40% Shocked chance. ",Blessing of the Great Liar (P): All information acquired by Intel while Ame-No-Uzume is present in combat is incorrect.,"Noble, Flirty",Materialistic Perception (T2 Intel),1,5,5,6,4,2,C-195,FALSE
Arcana Emperor,6,Emperor,"Physical, Debuff",,,,,,,,"Fire, Ice, Wind, Thunder, Nuclear, PSY",Tyrant,,"Arcana of Rigidity – Each time Arcana Emperor moves or is moved, it takes 1d4 (2) Almighty damage for each space moved. ","Swift Strike: Any number of targets within 10 meters. On hit: 6d4 (15) Physical damage. If Arcana Emperor is Enraged, perform this attack once more this round. 
Royal Command: All Users in combat suffer Fortify Physical & Elements -8 for 3 rounds. This is a Debuff effect. ","Emperor Paradigm: At the start of each round, Arcana Emperor's Physical, Gun, Light, Dark, Status and Intel interactions become Neutral, and it gains Reflect against two of these Types (determined by the Narrator). This is not obviously visible to the Users unless one of them succeeds on a Knowledge (3) check. Passing this check also reveals one Type Arcana Emperor now reflects. ",,,6,1,7,3,6,2,SSVI-44,FALSE
"Arcana Empress",6,Empress,"Wind, Status",,,,,,,,"Physical, Gun",Tyrant,,Arcana of Spurning – Damage reflected by Arcana Empress ignores Resist and treats Null as Resist.,"Garula: One target within 8 meters. +1 HDC. On hit: 6d8 (27) Wind damage. 
Magaru: Any number of targets within 6 meters. On hit: 6d4 (15) Wind damage and 30% Fearful chance 
Bewilder: Two targets Arcana Empress can see. 20+5TEC% (55%) Enraged chance. ","Empress Paradigm: At the start of each round, Arcana Empress's Fire, Ice, Wind, Thunder, Nuclear and PSY interactions become Neutral, and it gains Reflect against two of these types (determined by the Narrator). This is not obviously visible to the Users unless one of them succeeds on a Knowledge (3) check. Passing this check also reveals one of the Types Arcana Empress now reflects.  ",,,1,6,7,6,3,2,SSVI-43,FALSE
Chris The Car,6,Chariot,"Physical, Status, Debuff",,,,Physical,,,,Fire,Shadow,"+1 STR, +1 AGI","Don’t Walk – While performing your movement action, you can choose to deal STR Physical damage to any number of units you become adjacent to. ","Squash: One target within 7 meters. Chris is moved to a position adjacent to the target. On hit: 6d6 (21) Physical damage and 4TEC% (20%) chance to Knockdown. 
Burning Rubber: Any number of targets within 5 meters. Slowed chance: 7TEC+10% (45%). 
Voracious Thing: All units in combat, including Chris, receive Weakness to Status until the end of Chris's next turn. ","Crumple Zone (P): Chris starts combat with ""Resist"" against all Types except Fire, but Resistances other than Physical are removed after it takes damage from that Type once. ","Insane, Aggressive",,6,1,5,7,5,2,SSIII-17,FALSE
Andras,6,Devil,"Thunder, Heal",,,,Ice,,,,Gun,Shadow,"+4 Expression, +4 Empathy","Goetian Assassin – Once per day, you can use your Interrupt action force an enemy to re-roll a dodge check against one of your attacks.","Mazio: Any number of targets. On hit: 5d4-4(8) Thunder damage, 30% Shocked chance, 20% Enraged chance. Critical Margin +1 Mediarama: Any number of targets. Heals 5d8+8 (35) HP, 20% Enraged chance.
Somafuri: One adjacent target or Andras. Heals all negative Status, except Knockdown, and applies the effect of Enraged.","Blazing Rage (P): All spells Andras cast have a 20% chance to cause Enraged on the targets and Andras.
Apt Pupil (P): Attacks declared by Andras have Critical Margin +1.",Devilish,Zionga (T2 Thunder),1,5,4,6,4,4,C-194,FALSE
Gyrator,6,--,,,,,Thunder,,,,PSY,Human,,,"IED: One User within 5 meters. On hit: SKLd8 Physical damage, and Gyrator takes 1d8 Almighty damage. If this attack does not deal damage to its original target, Gyrator takes SKLd8 Almighty damage.
Those Who Come After: Add any other Messian unit to combat, using the same initiative spot as Gyrator, replacing up to three of its Combat Skills by Gyrator’s scores, then slay Gyrator. Units added in combat by this effect do not grant Experience when defeated.","Pillaging Faith (P): When combat starts, and at the end of every turn Gyrator was targeted for an attack, Gyrator targets one User and selects one of that User’s Combat Skills: Swap Gyrator’s and that User’s scores for that Combat Skill until the end of combat. This is not a Debuff effect.",Snobbish,,1,1,1,1,5,1,BC-24,FALSE
Holy Knight,6,--,,,,,Light,,,,Thunder,Human,,,"Veni Creator Spiritus: Up to two targets within 4 meters. On hit: 6d6 (21) Wind damage.
Push Back: All Users in combat suffer -2 TEC, -2 AGI for 3 rounds. This is a Debuff effect.
Castling: One Shadow Holy Knight can see, except other Holy Knights. Holy Knight is moved to the target's position, and the target is moved to Holy Knight's original position. After this, if either Holy Knight or the target are adjacent to a target, they can declare a basic attack against an adjacent unit as an Interrupt action.","Gouging Faith (P): If damage dealt by an attack declared by Holy Knight exceeds 15, that damage cannot be healed for 1d4-1 rounds. This is a Condition that can stack.",Snobbish,,1,6,5,5,5,2,BC-23,FALSE
Inui,6,--,,,,Dark,,,,,Fire,Human,,,"Bullet Hail: All units within 5 meters, except Inui. On hit: 7d4 (17) Physical damage. 
Binding Shout: Up to three units within 5 meters. If this spell targets a Platoon Soldier, it can perform a basic attack as its interrupt action this round. If this spell targets a User, 5TEC+10% (35%) Slowed chance. 
Death Before Dishonor: One Platoon Soldier whose current HP is less than 20% of its maximum (13). That Platoon Soldier is immediately slain, and Inui recovers 20% of its maximum HP (50). ","The Empire Everlasting (P): When Inui enters combat, summon a number of Platoon Soldiers equal to the number of Users in combat. They roll for initiative normally. ",,,7,1,5,4,6,4,SSIV-14,FALSE
Isis,6,Priestess,"Fire, Wind, Thunder",,,Dark,,,,,Fire,Shadow,"+1 MAG, +4 Empathy",Divine Body – Your chance to recover from all Nerve Status becomes 50%.,"Ha Agi: Up to 3 targets within 7 meters. On hit: 7d4 (17) Fire damage
Mazio: Any number of targets. On hit: 7d4-6 (11) Thunder damage and 28% Shocked chance
Garu: 1 target within 8 meters. On hit: 7d6-3 (15) Wind damage. HDC +1 or Critical Margin +1.","Resist Fear (P): This Shadow has half the normal chance to suffer from Fear.
Boundless Knowledge (P): At the start of Isis’s turn, it can discover one weakness of one User.","Friendly, Noble",Magarula (T2 Wind),1,7,5,5,3,2,C-195,FALSE
Principality,6,Justice,"Light, Status, Heal",,,,"Physical, Light",Thunder,,,"Gun, Fire",Shadow,"+1 TEC, +1 VIT","Materialist – +2 Tiers to the relevant Social Skill Tier to appraise the origin, value and purpose of items the User can see and touch.","Hamaon: One target loses 65% of its current HP (Light) Divine Decree: One target that can hear. 70% Charmed chance.
Bless: One target within 8 meters recovers up to 30% of its maximum HP.",Resist Panic (P): This Shadow has half the normal chance to suffer the effects of Panic.,"Noble, Snobbish",Evil Smile (T2 Status),1,1,8,5,5,4,C-196,FALSE
Jikokuten,6,Temperance,"Physical, Buff, Debuff",,,,"Physical, Light",,,,"Dark, PSY",Shadow,"+1 STR, +1 LCK",Melody and Harmony – Decreases your chance to suffer from any Status effect by 10% for each ally adjacent to you.,"Revolution: Critical Margin +1 to all combatants for 3 turns.
Fatal End: 1 target within 3 meters. On hit: 5d6 (17) Physical damage.
Sukunda: A target within 8 meters suffers -1 TEC, -1 AGI for 3 turns. ","Master of the Revolution (P): As long as Jikokuten is alive, Jikokuten and all its allies gain Critical Margin +2 to all their Attacks.","Noble, Aggressive",Fatal End (T2 Physical),5,1,5,3,4,8,C-194,FALSE
Kaiwan,6,Star,"Dark, Buff",,,"Status, Gun",,,,,Intel,Shadow,"+4 Knowledge, +4 Expression",Inimitable – Once per day you can spend 1 Aspect Point to force a person who doesn’t know you personally to completely forget about your face and other defining features.,"Circle of Silence: Kaiwan creates a circle with 4 meters of radius centered on itself that lasts for 3 rounds. Creatures within this circle suffer a -2 penalty to MAG.
Summon Phantoms: Any number of targets within Circle of Silence take 6d4 (15) Dark damage, no dodge. This spell deals damage based on Kaiwan’s TEC.
Ritual Circle: Grants +2 TEC, +2 AGI to any number of targets as long as they remain inside Circle of Silence.",,Noble,Dark Boost (T2 Dark),1,1,6,6,6,2,C-198,FALSE
Killer Duck,6,Chariot,"Fire, Debuff, Dark",,,,Fire,,,,Status,Rumor,"+1 TEC, +1 VIT","The Worse Self – Whenever one of your Aspects is Compelled, you recover up to 1d4 Energy ","Orphan-Maker: Up to three targets within 5 meters. On hit: 5d4+5 (17) Fire damage and each target has a +20% chance to suffer the next Status effect they receive.
Clock Cleaner: One target Killer Duck can see. 25+5TEC% (60%) Fearful chance.","The Fox Hunt (P): As long as Killer Duck remains in combat, at the end of the turn of any unit suffering a Status effect, that unit loses 10% of its maximum HP as Dark Type damage. ",Insane,Sexy Dance (T2 Status),1,5,7,3,5,4,SSVI-36,FALSE
Kukunochi,6,Star,"PSY, Status, Debuff",,,,"Thunder, Light",,,,Physical,Shadow,"+1 MAG, +1 VIT","Centennial Forest – Once per combat, when you are targeted by a unit who's under a Status effect, you can cast a Mono Category Debuff spell as your Interrupt action before hit and damage calculations. ","Tetrakarn: Kukunochi grants Reflect Physical and Gun to itself. After reflecting Physical or Gun once, this effect is removed. 
Psio: One target within 7 meters. On hit: 4d8 (22) PSY damage. If the target is suffering a Status effect, bypass the target's dodge check. ","Spirit of the Trees (P): At the start of combat, Kukunochi summons a number of Prayer-Infused Kodama equal to the number of Users in combat. Each Prayer-Infused Kodama rolls for initiative independently. 
Echoing Prayer (P): Whenever one or more Prayer-Infused Kodama are slain, Kukunochi can spend its Interrupt action to summon 1d2-1 PrayerInfused Kodama into combat. ",Friendly,Rakundamon (T2 Status),1,5,2,6,7,2,SSVI-40,FALSE
Lamia,6,Empress,"Fire, Status",,,Dark,"PSY, Gun",,,,Ice,Shadow,"+1 TEC, +4 Charm",Grieving Eyes – Your chance to recover from Mind Statuses becomes 50%. ,"Agilao: 1 target within 8 meters. On hit: 5d6+3 (20) Fire damage.
Macofunda: Up to 2 targets within 6 meters. 45% Stunned chance.
Ghastly Wail: HDC-1. On hit: Kills any number of targets suffering from Status effects.",,"Flirty, Anthropophagous",Agilao (T2 Fire),1,5,6,5,4,4,C-198,FALSE
Magus,6,--,,,,,Fire,,,,"Ice, Nuclear",Human,,,"Metaverse Static (P): Metaverse Static is a Condition with the following effect: “You can only receive Buff Effects or Heal effects, except Revive effects, from targets who are affected by Metaverse Static.”
Rosary Flame: Magus sings an irate prayer that summons fire down from the sky. One target within 6 meters. On hit: 5d6 (17) Fire damage and target suffers the Metaverse Static Condition for 1d4 rounds.","Severing Faith (P): Whenever Magus would take damage, that damage is divided by the number of targets under Metaverse Static, applied last in damage calculation.",Aggressive,,1,5,6,5,5,1,BC-24,FALSE
Mothman-α,6,Moon,"Status, Debuff, Almighty",,Status,Dark,,,,,"Fire, Light",Alpha,"+1 TEC, +1 VIT","Extreme Reality – At the start of combat, roll AGId6 and note down the result. Once during this combat, you can spend your Interrupt action to change the result of one Shadow's dodge roll for the result you rolled. ","Glue Shot: One ally within 7 meters. 40+5TEC% (70% Slowed chance) 
FINAL REALITY: All Users in combat. HDC +1. 6d4 (15) Almighty damage, plus 1 Almighty damage for each Hit point rolled over each target's Dodge roll. ","Auto-Ha Sukundamon (P): At the start of combat, all Users suffer -2 TEC, -2 AGI for 3 rounds. This is a Debuff effect. ","Friendly, Insane",Abatmaja (T2 Status),1,6,6,1,8,2,SSVI-39,FALSE
Naga,6,Hermit,"Physical, Thunder",,,"Thunder, Nuclear",Dark,,,,Wind,Shadow,"+4 Courage, +1 TEC","Constellation of the Serpent – Poison caused by the wielder of this Skill cannot be healed naturally at the end of the turn, but can be healed by any HP-restoring effect or item, besides the usual ways.","Zionga: 1 target within 8 meters. On hit: 5d6-5 (12) Thunder damage and 40% Shocked chance.
Venomous Spear: One target within 3 meters. On hit: 5d6(30) Physical damage and 40% Poisoned chance.",,"Snobbish, Aggressive",Zionga (T2 Thunder),1,5,5,4,5,2,C-196,FALSE
Padlock,6,--,,,,,"PSY, Fire",,,,,Human,,,"Tear Off: One Bound target. On hit: Remove Bound from the target, and lower their current HP to 1. This is considered Almighty damage.
Clamp Down (Intel): Up to three Users within 7 meters. 40% chance to apply Bound. Targets who do not suffer Bound instead suffer Intel Affinity -1 for 3 rounds. This is a Debuff effect.
Fire Slash: 1 target within 8 meters. On hit: 4d8 (18) Fire damage.","Snap Shut (P): Bound is a Condition applied by Padlock, visually represented by a heavy and painful padlock piercing through the User's body. Bound targets cannot move or be moved by any means. Attacks and spells declared by Bound targets have -2 HDC. The first time a User is Bound, the party may roll an Expression (2) check, Risking allowed, to reveal the following insight about the Bound Condition: The padlock placed on the User can be targeted for attacks. It has 40 HP, cannot dodge and has no Type Affinities. If an attack lowers the padlock's HP to zero, the Bound Condition is removed and that User becomes immune to this Condition until the end of combat. ",,,4,1,5,6,6,2,SSVIII-15,FALSE
Patriot,6,--,,,,Dark,,,,,Light,Human,,,"Taunt (Buff): Patriot and any number of targets receive the following effect: +2 STR, +2 MAG, -2 AGI, -2 TEC for 3 rounds. 
Tathlum Shot: One target within 8 meters. +1 HDC. Hit: STRd6+4 (18) Physical damage. 
IED: One target within 5 meters. On hit: STRd4 (10) Fire damage. On miss: Deals half the rolled damage.  ",,Insane,,4,1,6,6,5,4,SSII-16,FALSE
Platoon Soldier,6,--,,,,,Fire,,,,Thunder,"Human, Minion",,,Snipe: This replaces Platoon Soldier's basic attack. One target within 8 meters. On hit: 3d6 (10) Fire damage. ,"Intercept (P): If Inui would take damage from an attack, Platoon Soldier can spend its Interrupt action to change the target of that attack to itself. It takes double damage from attacks redirected this way. 
Crimson Cherry Blossom (P): If Platoon Soldier is slain by a basic attack or spell, they self-destruct, dealing 3d4+2 (9) Physical damage to all Users in combat (no dodge check). ",,,3,3,5,4,3,4,SSIV-14,FALSE
Prayer-Infused Kodama,6,Star,,,,,"Wind, Status",,,,,Minion,,,"Shimenawa Bind: Any number of Users. 20+5TEC% (60%) Panicked chance. 
Whisper: One target within 6 meters. On hit: 4d8 (18) Wind damage and the target cannot perform the LCK check to avoid Status effects for 3 rounds. This is a Debuff effect. ",,,,1,4,8,4,4,2,SSVI-40,FALSE
Setanta,6,Emperor,"Physical, Buff",,,"Thunder, PSY","Nuclear, Status",,,,Intel,Shadow,"+1 STR, +4 Courage",Watchdog – Grants +1 STR as long as your spot in the initiative queue is immediately after an ally and before an enemy.,Giant Fist: One target within 2 meters. On hit: 7d6-2 (22) Physical damage and Knockdown.,"Auto-Sukukajaou (P): +2 AGI, +2 TEC during the first three rounds of combat.
Loyal Guardian (P): As his Interrupt action, when an attack is declared, Setanta may change one of the attack’s targets to itself.","Friendly, Aggressive",Ha Rakukaja (T2 Buff),7,1,4,4,4,2,C-197,FALSE
Shax,6,Aeon,"Nuclear, Ice",,,,"Nuclear, Ice",,,,PSY,Shadow,"+1 VIT, +1 LCK","Lord of Treasures – Once per day, if you were the first User to deal damage to a Shadow, and were the User who dealt the killing blow to that same Shadow, you gain 1 RP.","Atomic Spark: Up to 3 targets Shax can see. On hit: 4d4 (10) Nuclear damage, grants 1 Nuclear Counter to Shax.
Avalanche: One target Shax can see. On hit: Xd8+X Ice damage, where X is the number of Nuclear Counters Shax currently has.","Ritual Core (P): Each time Shax takes damage, it loses 1 Nuclear Counter.",Devilish,Freila (T2 Nuclear) ,1,4,4,5,6,4,C-193,FALSE
Sudama,6,Hermit,"Wind, Intel",,Wind,,Nuclear,,,,Ice,Shadow,"+1 MAG, +4 Empathy","Guide of the Forest – In areas with natural vegetation, you are warned of possible dangers by the Narrator. Add +2 Tier to any relevant Skill to search or investigate in areas of natural vegetation.","Shuffle: Sudama can alter the initiative score of a target to place it anywhere in the combat’s initiative queue. This effect starts at the start of the next round. Murderous Phobia: One target within 6 meters rolls an attack against itself, dealing SKLd6 Intel damage.
Tempest: 1 target within 8 meters. On hit: 7d4 (17) Wind damage and Knockdown. Can be cast as an Interrupt action.",,Childish,Vacuum Wave (T2 Wind),1,7,4,4,5,2,C-197,FALSE
Yamata No Orochi,6,Judgement,"Physical, Ice",,,Ice,Dark,,,,Status,Shadow,"+1 STR, +1 VIT","Kusanagi-no-Tsurugi – You can spend 1 Aspect Point to remove any immediate danger from the current Scene, such as hazardous terrain and traps, including those you have not seen yet.","Blizzard Fangs: Up to 3 targets within 4 meters. On hit: 5d4 (18) Physical damage and 5d4-8 (10) Ice damage
Devastating Winter: All combatants within 5 meters. HDC +1. On hit: 5d4 (12) Ice damage and Weakness to Ice until the end of this Shadow’s next turn. This spell can only be cast once, but creates an area with 5 meters of radius around this Shadow that lasts until the end of the combat and rolls damage for all targets within it at the start of each round.","Serpent’s Gaze (P): This Shadow takes no damage from Interrupt actions.
Unshakable Will (P): This Shadow is immune to Mind Status.","Noble, Chaotic","Comfortable Parka (Armor, 3 RP)",5,1,5,2,8,2,C-199,FALSE
Adam,7,Emperor,"Physical, Status, Nuclear",,,,"Physical, Wind",,,,"Ice, Status",Shadow,"+1 STR, +1 TEC","Born of Dust – If you are adjacent to a User whose Active Persona is Eve, Physical spells you declare gain +1 HDC. ","Breaking Rush: All targets between Adam and a point within 6 meters. On hit: 5d6 (17) Physical damage and 5TEC+10% (40%) Slowed chance. After casting, Adam is moved to the end point of this spell. 
Violet Aeon: Up to 3 targets within 7 meters. On hit: 5d6 (17) Nuclear damage, and grant Adam 1 Nuclear Counter for each target hit. 
Desolate Lands: If Eve is reduced to 1 HP, Adam can use his Interrupt action to sacrifice up to 50% of his current HP to heal Eve for the amount sacrificed. ",,"Noble, Friendly",Freila (T2 Nuclear),5,1,6,1,8,2,SSIV-13,FALSE
Anubis,7,Hanged Man,"Light, Dark",,,"Dark, Intel",,,,,Fire,Shadow,"+1 TEC, +4 Knowledge","Mummified – Enter negotiation with a Shadow defeated during this combat, but suffer a -2 Tier Penalty to your chosen Social Skill during this round.","Ammit: One target within 10 meters suffers the Judgement Status. This visually obvious affliction creates an ankh of dark energy over the target’s chest and can be cured by any Status removal effect.
Hama: 1 target loses 40% of its current HP as Light damage.","Final Sentence (P): At the start of Anubi’s turn, it heals 3d10 (13) HP and reduces one target under the effects of Judgement HP’s to 0. The Status and its effects can be discovered through a Knowledge Tier II check, and disappears when Anubis is defeated.","Devilish, Snobbish",Eiga (T2 Dark),2,1,5,5,6,4,C-201,FALSE
Choronzon,7,Magician,"Physical, Fire, Status",Fire,,,,Thunder,,,Light,Shadow,"+4 Knowledge, +4 Expression","Demon of Dispersion – Once per day, you may move yourself and an ally up to TEC meters in different directions as your Interrupt action.  ","Skull Cracker: 1 target within. On hit: 4d6 (14) Physical damage; 20% Stunned chance plus +5% per hit point rolled above target’s dodge. 
Purifying Flame: Any number of targets. On hit: 4d4 (10) Fire. Kills targets below 20% HP 
Terrifying Visage: Any number of targets within 6 meters. 45% Fearful chance.  ",,"Insane, Devilish",Sexy Dance (T2 Status) ,4,4,4,1,6,4,C-313,FALSE
Mithra,7,Temperance,"Light, Heal",,,Ice,PSY,,,,Thunder,Shadow,"+1 TEC, +4 Empathy","An Offer You Can’t Refuse – At the start of each combat, roll TECd6 and write the result down. During combat, you may substitute one of your attack rolls by that value.","Recarm: One previously slain Shadow returns to life with 50% of its maximum HP.
Divine Judgement: One target Mithra can see loses 62% of its current HP (Light damage)",Null Fear (P): This Shadow does not suffer the effects of Fear.,"Noble, Anthropophagous",Caduceus (T2 Heal),1,2,6,5,5,4,C-201,FALSE
Dakini,7,Empress,"Physical, Buff",,,,Fire,,,,,Shadow,"+1 STR, +1 AGI",Cleave the Sky – Grants +2 AGI to determine your movement during leaps or flight.,"Honed Swords: The next Physical attack declared by Dakini deals 50% more damage.
Tempest Slice: 1 target within 3 meters. On hit: 8d4 (20) Physical damage and declare a second attack. On hit: 8d4-5 (15) Physical damage.
Sword V: Dakini wields a sword that costs up to 5 RP. This replaces her basic attack and is granted to the Users when Dakini is defeated.","Hyper-Counter (P): 30% chance to retaliate against a basic attack or Physical spell with a basic attack or Tempest Slice.
Auto-Sukukajaou (P): +2 TEC, +2 AGI to Dakini for the first 3 rounds of combat.","Flirty, Noble",Path of Blades (T2 Physical),8,2,5,2,4,2,C-205,FALSE
Eligor,7,Emperor,"Physical, Fire, Buff",,,,Fire,,,,Ice,Shadow,"+1 STR, +1 VIT","Strategist – At the start of the combat, you can discover an enemy’s interaction with a Type of your choice.","Maragion: Any number of targets this Shadow can see take 5d4 (12) Fire damage on hit.
Mounted Charge: One adjacent target. On hit: 5d8 (22) Physical damage. If this Shadow moved at least 4 meters before attacking, apply Knockdown to the target on hit.
Glory to the Flag! Any number of targets who can hear this Shadow gain +1 STR, +1 MAG, and +1 TEC for 3 turns.","Bloody Vanguard (P): Targets this Shadow attacked this turn take 20% extra damage from all other sources.
Knightly (P): This Shadow can move 10AGI meters per turn.","Noble, Aggressive",Cruel Impulse (T2 Physical),5,5,5,1,7,2,C-200,FALSE
Kaguya,7,Moon,"Light, Heal, Intel",,,"Light, Dark, Nuclear",,,,,Fire,Shadow,"+4 Charm, +4 Expression","Moon Kingdom’s Princess – Once per session, you may null the damage and secondary effects you would receive from an attack of the following Types: Physical, Fire, Ice, Thunder, Wind, Nuclear, PSY.","Rejection (Light): Reduces 1 target’s current HP to 1.
Selene (Almighty): Deals 1 point of Almighty damage to all combatants, no dodge check.
Stunning Galaxy (Intel): All targets whose HP are below 15+5TEC% (50%) are rendered unconscious (cannot perform any actions until attacked)
Lydia: One target Kaguya can see restores 25% of its HP at the end of each of its turns until the target or Kaguya dies. Lydia can only be active on one target at a time. ",Moon’s Blessing (P): Kaguya can nullify all effects of 1 attack per round.,"Noble, Friendly",Prayer Bead (Consumable),1,4,7,4,6,2,C-203,FALSE
Eve,7,Empress,"Wind, Status",,,Status,,,,,Physical,Shadow,"+1 MAG, +1 AGI","Born of Flesh – If you are adjacent to a User whose Active Persona is Adam, you gain +1 DDC against Physical Type attacks ","Zanma: Before selecting a target, Eve is moved to a position adjacent to Adam, if possible. One target within 8 meters. On hit: 6d8 (27) Wind damage. If Eve is adjacent to Adam and there are no other units adjacent to either of them, this attack hits automatically (no dodge check). 
Forbidden Fruit: Any number of targets. On hit: 6d4 (15) PSY damage. If a target of this spell is under a Status effect, this attack hits automatically (no dodge check). ","The Fruit Divided (P): For each Nuclear Counter Adam has, Eve gains +1 TEC. This is not a Buff effect.","Snobbish, Childish",Psio (T2 PSY),1,6,5,6,3,2,SSIV-13,FALSE
La Llorona,7,Empress,"Physical, Ice, Status",,Ice,,,,,,Light,Shadow,"+1 STR, +4 Charm","Suffocating Grudge – Whenever you take damage from an attack, you can move up to 1d6 meters towards the unit that dealt that damage, for no action cost. ","Grasp: One target within 6 meters. On hit: 6d8 (27) Physical damage and the target cannot from their position until the end of La Llorona’s next turn. 
Drowning Embrace: One adjacent target. If the target cannot move from its position, this attack does not allow rolling to dodge. On hit: The target cannot declare standard or movement actions until the end of La Llorona's next turn and takes 5d10 (27) Ice damage. 
Desperate Wail: Any number of targets. 20+5TEC% (40%) chance of Slowed. If a target fails the resistance check for Slowed, they cannot move from their current position until the end of La Llorona's next turn. ",,Aggressive,Seal Bomb (T2 Phys.),6,5,4,4,3,2,SSII-15,FALSE
Legion,7,Fool,"Status, Debuff",,,,"Physical, Fire",,,,"Light, PSY",Shadow,"+1 TEC, +1 VIT","Made of Many – Casters that use Intel against you or your allies acquire one false info, of your choice. This can include the number of combatants and apparent combat prowess.","Possess: 1 target within 6 meters. 100% Charmed chance and -3 AGI. Both effects are healed at the end of target’s turn.
Ha Sukundamon: Up to 2 targets Legion can see. -2 TEC, -2 AGI for 3 turns.","Toppled Walls (P): As long as Legion is alive, all Shadows ignore Karn category effects.",Anthropophagous,Wage War (T2 Status),1,1,7,3,7,4,C-204,FALSE
Kikuri-Hime,7,Priestess,"Fire, Heal",,,Wind,,,,,Fire,Shadow,"+1 MAG, +1 AGI","Plea to the Divine – Once per day, in a Scene that features a recentlydeceased corpse, you can uncover a critical hint regarding the circumstances of death or regarding the scene when the death took place.","Ha Agilao: Up to 3 targets within 7 meters. On hit: 6d6-2 (19) Fire damage.
Diarama: 1 target within 8 meters heals 6d8 (27/40) HP.
Ring of Fire: Any number of targets within 5 meters. Allies within this area gain Resist Fire for the duration of this spell. Deals MAG (6) Fire damage at the end of the turn of each User within 5 meters of Kikuri-Hime. This effect lasts 3 turns. ",Divine Grace (P): Heal Type spells cast by Kikuri-Hime restore 50% more HP. ,Snobbish,Diarama (T2 Heal),1,6,4,6,3,2,C-205,FALSE
